species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bird1,0,14,0.01,-1.9372697123635338,1,1
bird1,0,14,0.1,-1.937269714790107,1,1
bird1,1,14,0.001,-0.7243468779451087,9,8
bird1,1,14,0.01,-0.723966005554127,9,8
bird1,1,14,0.1,-0.7236126943645771,9,8
bird1,2,14,0.001,-0.7063466734912097,72,36
bird1,2,14,0.01,-0.7055443550602615,72,36
bird1,2,14,0.1,-0.7049446322783639,72,36
bird1,3,14,0.001,-0.6929556627232663,576,81
bird1,3,14,0.01,-0.6903101155326045,576,81
bird1,3,14,0.1,-0.688496303059284,576,81
bird1,4,14,0.001,-0.7170143790972225,4608,149
bird1,4,14,0.01,-0.7098416921388396,4608,149
bird1,4,14,0.1,-0.7049195220417366,4608,149
bird1,5,14,0.001,-0.7436746494847997,36864,224
bird1,5,14,0.01,-0.7349999903685042,36864,224
bird1,5,14,0.1,-0.7296132883555013,36864,224
bird1,0,15,0.001,-1.9312604505694682,1,1
bird1,0,15,0.01,-1.9312604617853093,1,1
bird1,0,15,0.1,-1.9312605740751918,1,1
bird1,1,15,0.001,-0.7285574366243309,9,8
bird1,1,15,0.01,-0.7283047943191832,9,8
bird1,1,15,0.1,-0.7280543975612633,9,8
bird1,2,15,0.001,-0.7114416856946963,72,36
bird1,2,15,0.01,-0.7105339282843098,72,36
bird1,2,15,0.1,-0.7099595035374476,72,36
bird1,3,15,0.001,-0.6962533111882739,576,85
bird1,3,15,0.01,-0.6936540346590895,576,85
bird1,3,15,0.1,-0.6919932547740295,576,85
bird1,4,15,0.001,-0.7151043804614521,4608,156
bird1,4,15,0.01,-0.7101445577445165,4608,156
bird1,4,15,0.1,-0.7072281060579447,4608,156
bird1,5,15,0.001,-0.7438066021045601,36864,246
bird1,5,15,0.01,-0.7351739791690004,36864,246
bird1,5,15,0.1,-0.730360861635443,36864,246
bird1,0,16,0.001,-1.9381673720747037,1,1
bird1,0,16,0.01,-1.9381673703100213,1,1
bird1,0,16,0.1,-1.9381673527988874,1,1
bird1,1,16,0.001,-0.730613356637668,9,8
bird1,1,16,0.01,-0.7301018283945434,9,8
bird1,1,16,0.1,-0.729608725316494,9,8
bird1,2,16,0.001,-0.7166567803986085,72,37
bird1,2,16,0.01,-0.7150263549304475,72,37
bird1,2,16,0.1,-0.71366198061576,72,37
bird1,3,16,0.001,-0.7067116468739963,576,84
bird1,3,16,0.01,-0.7020504996190718,576,84
bird1,3,16,0.1,-0.6984361383314542,576,84
bird1,4,16,0.001,-0.7232332035006408,4608,156
bird1,4,16,0.01,-0.7174273404592901,4608,156
bird1,4,16,0.1,-0.7136816361610379,4608,156
bird1,5,16,0.001,-0.7563749583158466,36864,251
bird1,5,16,0.01,-0.7456243031286239,36864,251
bird1,5,16,0.1,-0.738601785913503,36864,251
bird1,0,17,0.001,-1.9446244891134223,1,1
bird1,0,17,0.01,-1.9446244751071387,1,1
bird1,0,17,0.1,-1.9446243351855816,1,1
bird1,1,17,0.001,-0.722278872857363,9,8
bird1,1,17,0.01,-0.7220116733396273,9,8
bird1,1,17,0.1,-0.7217649395166578,9,8
bird1,2,17,0.001,-0.7068605669839775,72,38
bird1,2,17,0.01,-0.7057249339002684,72,38
bird1,2,17,0.1,-0.7048316830006434,72,38
bird1,3,17,0.001,-0.6881258625859031,576,83
bird1,3,17,0.01,-0.6857976168013262,576,83
bird1,3,17,0.1,-0.6843893344279602,576,83
bird1,4,17,0.001,-0.7054049914511967,4608,154
bird1,4,17,0.01,-0.6996487581791229,4608,154
bird1,4,17,0.1,-0.6964566386584176,4608,154
bird1,5,17,0.001,-0.7324333532431558,36864,231
bird1,5,17,0.01,-0.7251395375429824,36864,231
bird1,5,17,0.1,-0.7214073948026368,36864,231
bird1,0,18,0.001,-1.9407105102704814,1,1
bird1,0,18,0.01,-1.9407105058676304,1,1
bird1,0,18,0.1,-1.9407104619745075,1,1
