,species,k,lag,smoother,log_likelihood,num_train_states,num_test_states
256,bre,5,30,1.0,-0.18341566149319963,100000,784
257,bre,5,40,1.0,-0.2430499268686474,100000,834
258,bre,5,50,1.0,-0.2961535368941072,100000,876
259,bre,5,60,1.0,-0.330186261436199,100000,915
260,bre,5,70,1.0,-0.38302022302085365,100000,948
261,bre,5,80,1.0,-0.4158217199583213,100000,904
262,bre,5,90,1.0,-0.4458849932287388,100000,907
263,bre,5,100,1.0,-0.5236221524977501,100000,892
264,bre,6,1,0.001,-0.06686730037009343,1000000,288
265,bre,6,10,0.001,-0.09770622190380268,1000000,794
266,bre,6,20,0.001,-0.15401879048818398,1000000,1001
267,bre,6,30,0.001,-0.22208636281014904,1000000,1127
268,bre,6,40,0.001,-0.3167392107572284,1000000,1173
269,bre,6,50,0.001,-0.38157123211709887,1000000,1209
270,bre,6,60,0.001,-0.41630976994557856,1000000,1228
271,bre,6,70,0.001,-0.48652220610055175,1000000,1240
272,bre,6,80,0.001,-0.5678147504616233,1000000,1157
273,bre,6,90,0.001,-0.6408515541577083,1000000,1146
274,bre,6,100,0.001,-0.7352235890795747,1000000,1102
275,bre,6,1,0.01,-0.06586097396354451,1000000,288
276,bre,6,10,0.01,-0.09431143699711213,1000000,794
277,bre,6,20,0.01,-0.14956099500652037,1000000,1001
278,bre,6,30,0.01,-0.21565619436493183,1000000,1127
279,bre,6,40,0.01,-0.3114512135861064,1000000,1173
280,bre,6,50,0.01,-0.3774650958817631,1000000,1209
281,bre,6,60,0.01,-0.41233829622499607,1000000,1228
282,bre,6,70,0.01,-0.48084844244214014,1000000,1240
283,bre,6,80,0.01,-0.5647039417663354,1000000,1157
284,bre,6,90,0.01,-0.63108016032196,1000000,1146
285,bre,6,100,0.01,-0.7259560853596015,1000000,1102
286,bre,6,1,0.1,-0.06563921566677151,1000000,288
287,bre,6,10,0.1,-0.09653910913070402,1000000,794
288,bre,6,20,0.1,-0.15199595644992644,1000000,1001
289,bre,6,30,0.1,-0.2200275952081481,1000000,1127
290,bre,6,40,0.1,-0.3156628607211838,1000000,1173
291,bre,6,50,0.1,-0.3830020274083871,1000000,1209
