,sim,alpha,corpusSize,trueK,bestK,best_ll,correct,entropy,nStates,way,bestLag
146,1,0.1,50,2,2,-0.19752413726853643,1,0.0,2,semicol,
147,1,0.1,50,2,3,-0.1584634560089488,0,0.0,2,lagged,50.0
148,1,0.1,100,2,4,-0.19343681364959808,0,0.0,2,semicol,
149,1,0.1,100,2,3,-0.16860939018913787,0,0.0,2,lagged,50.0
150,1,0.5,10,2,4,-0.20416701422008465,0,0.0,2,semicol,
151,1,0.5,10,2,3,-0.16480794169490878,0,0.0,2,lagged,30.0
152,1,0.5,50,2,3,-0.20998296787000026,0,0.0,2,semicol,
153,1,0.5,50,2,4,-0.1881630662235614,0,0.0,2,lagged,20.0
154,1,0.5,100,2,2,-0.19194799065189852,1,0.0,2,semicol,
155,1,0.5,100,2,3,-0.16256212207213877,0,0.0,2,lagged,50.0
156,1,1.0,10,2,2,-0.1761303858443449,1,0.0,2,semicol,
157,1,1.0,10,2,1,-0.19748420691363977,0,0.0,2,lagged,20.0
158,1,1.0,50,2,2,-0.19029584475535236,1,0.0,2,semicol,
159,1,1.0,50,2,3,-0.1884611059468575,0,0.0,2,lagged,50.0
160,1,1.0,100,2,4,-0.2087999505619016,0,0.0,2,semicol,
161,1,1.0,100,2,1,-0.17973237594143257,0,0.0,2,lagged,20.0
162,1,0.1,10,2,4,-0.2146602279653801,0,0.045838662296523586,3,semicol,
163,1,0.1,10,2,3,-0.20309433892202022,0,0.412422374442134,3,lagged,30.0
164,1,0.1,50,2,2,-0.2335571126093589,1,0.3525992101361879,3,semicol,
165,1,0.1,50,2,2,-0.21145005024678806,1,0.23385861635866412,3,lagged,20.0
166,1,0.1,100,2,2,-0.19974688388177378,1,0.4143690502814585,3,semicol,
167,1,0.1,100,2,3,-0.22051166674876813,0,0.3424956719922679,3,lagged,50.0
168,1,0.5,10,2,4,-0.21011061271663994,0,0.5581981594213571,3,semicol,
169,1,0.5,10,2,2,-0.24636405424079577,1,0.6029698017844984,3,lagged,50.0
170,1,0.5,50,2,2,-0.22470134469245437,1,0.5649342981267301,3,semicol,
171,1,0.5,50,2,3,-0.19151443482940625,0,0.4492770433366922,3,lagged,30.0
172,1,0.5,100,2,2,-0.252519924397931,1,0.5427745329950232,3,semicol,
173,1,0.5,100,2,1,-0.2004487255067003,0,0.500676436291246,3,lagged,20.0
174,1,1.0,10,2,2,-0.19522516191148145,1,0.6461327192416287,3,semicol,
175,1,1.0,10,2,1,-0.225640037604557,0,0.6188909418779577,3,lagged,50.0
176,1,1.0,50,2,2,-0.21947620946603064,1,0.6866114956382968,3,semicol,
