species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bird1,5,27,0.01,-0.73428998380358,36864,176
bird1,5,27,0.1,-0.7309404194410006,36864,176
bird1,0,28,0.001,-1.7661408172839326,1,1
bird1,0,28,0.01,-1.7661408159423264,1,1
bird1,0,28,0.1,-1.7661408029283485,1,1
bird1,1,28,0.001,-0.7885199531311741,9,8
bird1,1,28,0.01,-0.788352257612483,9,8
bird1,1,28,0.1,-0.7882044315479015,9,8
bird1,2,28,0.001,-0.7467271402481331,72,35
bird1,2,28,0.01,-0.7449889821532765,72,35
bird1,2,28,0.1,-0.743621664838238,72,35
bird1,3,28,0.001,-0.7361603818222715,576,78
bird1,3,28,0.01,-0.7331769940564911,576,78
bird1,3,28,0.1,-0.7314298352652249,576,78
bird1,4,28,0.001,-0.7408957857945798,4608,139
bird1,4,28,0.01,-0.7351667049946977,4608,139
bird1,4,28,0.1,-0.7321249064587878,4608,139
bird1,5,28,0.001,-0.7413206696920313,36864,206
bird1,5,28,0.01,-0.7368452900273561,36864,206
bird1,5,28,0.1,-0.7359468028153806,36864,206
bird1,0,29,0.001,-1.7487984177597584,1,1
bird1,0,29,0.01,-1.7487984996857935,1,1
bird1,0,29,0.1,-1.7487993192682159,1,1
bird1,1,29,0.001,-0.7822605323099029,9,8
bird1,1,29,0.01,-0.7820947900779462,9,8
bird1,1,29,0.1,-0.7819494753478269,9,8
bird1,2,29,0.001,-0.7430699951802198,72,36
bird1,2,29,0.01,-0.7415243906341497,72,36
bird1,2,29,0.1,-0.7403051829743953,72,36
bird1,3,29,0.001,-0.7295001885147162,576,77
bird1,3,29,0.01,-0.7277817526433735,576,77
bird1,3,29,0.1,-0.7269149500812888,576,77
bird1,4,29,0.001,-0.733442178737038,4608,130
bird1,4,29,0.01,-0.7306753963502788,4608,130
bird1,4,29,0.1,-0.7297265607880503,4608,130
bird1,5,29,0.001,-0.7482114895518778,36864,194
bird1,5,29,0.01,-0.7405464392252841,36864,194
bird1,5,29,0.1,-0.7366923269083853,36864,194
bird1,0,30,0.001,-1.7480156945458507,1,1
bird1,0,30,0.01,-1.7480157889101386,1,1
bird1,0,30,0.1,-1.7480167328540974,1,1
bird1,1,30,0.001,-0.7877893427256966,9,8
bird1,1,30,0.01,-0.7877919520340855,9,8
bird1,1,30,0.1,-0.7878186007967583,9,8
